"","country","year","mean_year_tempeC","id","tot_gas","year_deaths"
"1","Albania",1992,11.4333333333333,"Albania-1992",7.09,5792
"2","Albania",1993,11.35,"Albania-1993",7.03,6028
"3","Albania",1994,12.3333333333333,"Albania-1994",7.87,4636
"4","Albania",1995,11.175,"Albania-1995",7.63,4820
"5","Albania",1996,10.9666666666667,"Albania-1996",7.36,4488
"6","Albania",1997,11.1833333333333,"Albania-1997",6.65,3578
"7","Albania",1998,11.7916666666667,"Albania-1998",6.88,3399
"8","Albania",1999,12.0416666666667,"Albania-1999",8.09,2912
"9","Albania",2000,12.3583333333333,"Albania-2000",8.48,3129
"10","Albania",2001,12.0583333333333,"Albania-2001",7.08,2404
"11","Albania",2002,12.1583333333333,"Albania-2002",7.7,2684
"12","Albania",2003,11.9583333333333,"Albania-2003",8.13,2978
"13","Albania",2004,11.7083333333333,"Albania-2004",8.19,2717
"14","Albania",2005,11.225,"Albania-2005",7.98,2437
"15","Albania",2006,11.675,"Albania-2006",7.88,2157
"16","Albania",2007,12.3333333333333,"Albania-2007",7.94,1889
"17","Albania",2008,12.45,"Albania-2008",7.67,1852
"18","Albania",2009,12.275,"Albania-2009",7.73,1801
"19","Albania",2010,12.2083333333333,"Albania-2010",8.01,1340
"20","Andorra",2011,9.725,"Andorra-2011",0.6,52
"21","Andorra",2012,9.09166666666667,"Andorra-2012",0.6,48
"22","Andorra",2013,8.75833333333333,"Andorra-2013",0.59,40
"23","Andorra",2014,9.94166666666667,"Andorra-2014",0.58,56
"24","Andorra",2015,9.71666666666667,"Andorra-2015",0.58,54
"25","Antigua and Barbuda",1991,26.4666666666667,"Antigua and Barbuda-1991",0.37,63
"26","Antigua and Barbuda",1992,26.3666666666667,"Antigua and Barbuda-1992",0.45,74
"27","Antigua and Barbuda",1993,26.625,"Antigua and Barbuda-1993",0.43,58
"28","Antigua and Barbuda",1994,26.4166666666667,"Antigua and Barbuda-1994",0.43,66
"29","Antigua and Barbuda",1995,26.5833333333333,"Antigua and Barbuda-1995",0.46,36
"30","Argentina",1991,14.3833333333333,"Argentina-1991",293.36,41048
"31","Argentina",1992,14.0333333333333,"Argentina-1992",297.76,40780
"32","Argentina",1993,14.3916666666667,"Argentina-1993",300.27,43162
"33","Argentina",1994,14.9333333333333,"Argentina-1994",305.35,41711
"34","Argentina",1995,14.375,"Argentina-1995",305.93,48766
"35","Argentina",1996,14.4083333333333,"Argentina-1996",319.81,49046
"36","Armenia",1991,6.58333333333333,"Armenia-1991",25.07,1400
"37","Armenia",1992,4.99166666666667,"Armenia-1992",14.95,1507
"38","Armenia",1993,5.31666666666667,"Armenia-1993",8.77,1746
"39","Armenia",1994,6.41666666666667,"Armenia-1994",6.24,1450
"40","Armenia",1995,7.03333333333333,"Armenia-1995",6.85,1578
"41","Armenia",1996,7.13333333333333,"Armenia-1996",5.78,1705
"42","Armenia",1997,6.48333333333333,"Armenia-1997",6.39,1500
"43","Armenia",1998,7.60833333333333,"Armenia-1998",6.31,1290
"44","Armenia",1999,7.675,"Armenia-1999",5.8,1536
"45","Armenia",2000,7.225,"Armenia-2000",6.15,1508
"46","Armenia",2001,7.85833333333333,"Armenia-2001",6.26,1354
"47","Armenia",2002,6.78333333333333,"Armenia-2002",5.93,1578
"48","Armenia",2003,6.81666666666667,"Armenia-2003",6.35,1649
"49","Australia",1991,22.1083333333333,"Australia-1991",558.13,25376
"50","Australia",1992,21.55,"Australia-1992",560.3,28012
"51","Australia",1993,21.7833333333333,"Australia-1993",559.98,25963
"52","Australia",1994,21.7333333333333,"Australia-1994",563.06,28064
"53","Australia",1995,21.5666666666667,"Australia-1995",571.19,26540
"54","Australia",1996,21.8916666666667,"Australia-1996",571.01,28938
"55","Australia",1997,21.6333333333333,"Australia-1997",582.28,34444
"56","Austria",1991,6.1,"Austria-1991",66.99,12041
"57","Austria",1992,7.28333333333333,"Austria-1992",61.2,11883
"58","Austria",1993,6.68333333333333,"Austria-1993",61.12,11853
"59","Austria",1994,7.91666666666667,"Austria-1994",61.22,10949
"60","Austria",1995,6.65833333333333,"Austria-1995",63.69,10762
"61","Austria",1996,5.66666666666667,"Austria-1996",67.41,10998
"62","Austria",1997,6.8,"Austria-1997",66.4,11082
"63","Austria",1998,6.975,"Austria-1998",66.38,11191
"64","Austria",1999,6.98333333333333,"Austria-1999",64.56,12051
"65","Austria",2000,7.825,"Austria-2000",64.76,12141
"66","Austria",2001,6.85,"Austria-2001",76.39,11689
"67","Azerbaijan",1991,12.2333333333333,"Azerbaijan-1991",84.19,5489
"68","Azerbaijan",1992,10.9833333333333,"Azerbaijan-1992",60.44,6112
"69","Azerbaijan",1993,11.0833333333333,"Azerbaijan-1993",68.59,6408
"70","Azerbaijan",1994,11.9583333333333,"Azerbaijan-1994",62.05,6888
"71","Azerbaijan",1995,12.9083333333333,"Azerbaijan-1995",60.01,6385
"72","Azerbaijan",1996,12.6833333333333,"Azerbaijan-1996",55.36,5846
"73","Azerbaijan",1997,12.3583333333333,"Azerbaijan-1997",55.45,5491
"74","Azerbaijan",1998,13.35,"Azerbaijan-1998",56.29,5003
"75","Azerbaijan",1999,13.35,"Azerbaijan-1999",56.6,4889
