,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
0,Mexico,1990,39290,0.08916,45.96035,16909,0.03839,19.78044,417.45,290.01,88.1,37.47,1.87,20.958333,56199,0.12755
1,Canada,1990,6797,0.035710000000000006,24.93967,9319,0.04895,34.190490000000004,626.36,483.99,87.75,42.92,11.7,-7.45,16116,0.08466000000000001
2,Israel,1990,772,0.026510000000000002,15.564729999999999,1327,0.04556,26.754640000000002,43.95,33.78,8.35,1.62,0.21,19.816667000000002,2099,0.07207000000000001
3,Japan,1990,68816,0.08482999999999999,54.67434,29862,0.03681,23.72535,1109.37,1016.89,37.86,28.33,26.3,11.658333,98678,0.12164
4,Mexico,1991,37046,0.08447,42.539840000000005,17171,0.039169999999999996,19.71738,435.45,308.41,88.71,36.36,1.97,20.891667,54217,0.12364
5,Iceland,1990,105,0.06091,41.40485,69,0.040260000000000004,27.36931,3.38,1.96,0.51,0.41,0.5,1.6416669999999998,174,0.10117000000000001
6,Greece,1990,2168,0.0237,20.876089999999998,2626,0.0287,25.28226,94.44,74.69,10.71,7.67,1.38,14.016667000000002,4794,0.0524
7,France,1991,20520,0.03995,35.38813,21796,0.04244,37.588609999999996,502.72,355.84,77.38,61.6,7.9,10.783333,42316,0.08238999999999999
8,Australia,1990,1934,0.01644,11.475430000000001,6965,0.0592,41.31581,558.21,313.95,158.28,79.73,6.25,21.925,8899,0.07564
9,Italy,1990,9644,0.01813,16.98012,24262,0.045610000000000005,42.717259999999996,456.75,370.74,54.57,28.6,2.84,12.566667,33906,0.06374
10,Iceland,1991,105,0.0604,41.0419,71,0.04093,27.8143,3.26,1.93,0.51,0.4,0.41,2.458333,176,0.10133
