"","country","year","id","tot_gas","all_gas","ch4","co2","fgas","n2o","mean_year_tempeC","year_deaths"
"1","Australia",1990,"Australia-1990",558.21,558.21,158.28,313.95,6.25,79.73,21.925,25352
"2","Australia",1990,"Australia-1990",313.95,558.21,158.28,313.95,6.25,79.73,21.925,25352
"3","Australia",1990,"Australia-1990",158.28,558.21,158.28,313.95,6.25,79.73,21.925,25352
"4","Australia",1990,"Australia-1990",79.73,558.21,158.28,313.95,6.25,79.73,21.925,25352
"5","Australia",1990,"Australia-1990",6.25,558.21,158.28,313.95,6.25,79.73,21.925,25352
"6","Australia",1991,"Australia-1991",558.13,558.13,157.99,315.07,6.27,78.81,22.1083333333333,25376
"7","Australia",1991,"Australia-1991",315.07,558.13,157.99,315.07,6.27,78.81,22.1083333333333,25376
"8","Australia",1991,"Australia-1991",157.99,558.13,157.99,315.07,6.27,78.81,22.1083333333333,25376
"9","Australia",1991,"Australia-1991",78.81,558.13,157.99,315.07,6.27,78.81,22.1083333333333,25376
"10","Australia",1991,"Australia-1991",6.27,558.13,157.99,315.07,6.27,78.81,22.1083333333333,25376
"11","Australia",1992,"Australia-1992",560.3,560.3,157.41,318.72,6.19,77.98,21.55,28012
"12","Australia",1992,"Australia-1992",318.72,560.3,157.41,318.72,6.19,77.98,21.55,28012
"13","Australia",1992,"Australia-1992",157.41,560.3,157.41,318.72,6.19,77.98,21.55,28012
"14","Australia",1992,"Australia-1992",77.98,560.3,157.41,318.72,6.19,77.98,21.55,28012
"15","Australia",1992,"Australia-1992",6.19,560.3,157.41,318.72,6.19,77.98,21.55,28012
"16","Australia",1993,"Australia-1993",559.98,559.98,154.07,322.72,5.42,77.79,21.7833333333333,25963
"17","Australia",1993,"Australia-1993",322.72,559.98,154.07,322.72,5.42,77.79,21.7833333333333,25963
"18","Australia",1993,"Australia-1993",154.07,559.98,154.07,322.72,5.42,77.79,21.7833333333333,25963
"19","Australia",1993,"Australia-1993",77.79,559.98,154.07,322.72,5.42,77.79,21.7833333333333,25963
"20","Australia",1993,"Australia-1993",5.42,559.98,154.07,322.72,5.42,77.79,21.7833333333333,25963
"21","Australia",1994,"Australia-1994",563.06,563.06,152.9,329.03,3.48,77.65,21.7333333333333,28064
"22","Australia",1994,"Australia-1994",329.03,563.06,152.9,329.03,3.48,77.65,21.7333333333333,28064
"23","Australia",1994,"Australia-1994",152.9,563.06,152.9,329.03,3.48,77.65,21.7333333333333,28064
"24","Australia",1994,"Australia-1994",77.65,563.06,152.9,329.03,3.48,77.65,21.7333333333333,28064
"25","Australia",1994,"Australia-1994",3.48,563.06,152.9,329.03,3.48,77.65,21.7333333333333,28064
"26","Australia",1995,"Australia-1995",571.19,571.19,151.43,339.4,2.84,77.51,21.5666666666667,26540
"27","Australia",1995,"Australia-1995",339.4,571.19,151.43,339.4,2.84,77.51,21.5666666666667,26540
"28","Australia",1995,"Australia-1995",151.43,571.19,151.43,339.4,2.84,77.51,21.5666666666667,26540
"29","Australia",1995,"Australia-1995",77.51,571.19,151.43,339.4,2.84,77.51,21.5666666666667,26540
"30","Australia",1995,"Australia-1995",2.84,571.19,151.43,339.4,2.84,77.51,21.5666666666667,26540
"31","Australia",1996,"Australia-1996",571.01,571.01,146.29,349.99,2.83,71.89,21.8916666666667,28938
"32","Australia",1996,"Australia-1996",349.99,571.01,146.29,349.99,2.83,71.89,21.8916666666667,28938
"33","Australia",1996,"Australia-1996",146.29,571.01,146.29,349.99,2.83,71.89,21.8916666666667,28938
"34","Australia",1996,"Australia-1996",71.89,571.01,146.29,349.99,2.83,71.89,21.8916666666667,28938
"35","Australia",1996,"Australia-1996",2.83,571.01,146.29,349.99,2.83,71.89,21.8916666666667,28938
"36","Australia",1997,"Australia-1997",582.28,582.28,150.49,357.18,2.74,71.87,21.6333333333333,34444
"37","Australia",1997,"Australia-1997",357.18,582.28,150.49,357.18,2.74,71.87,21.6333333333333,34444
"38","Australia",1997,"Australia-1997",150.49,582.28,150.49,357.18,2.74,71.87,21.6333333333333,34444
